Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	rel_flux_SNR_T1	rel_flux_SNR_C2	tot_C_cnts	tot_C_err	RA_T1	DEC_T1	Source-Sky_T1	Source_Error_T1	Source_AMag_T1	Source_AMag_Err_T1	Peak_T1	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_AMag_C2	Source_AMag_Err_C2	Peak_C2
W Ursae Majoris_60sec_2x2__0011_Processed_I.fits	65220	61149.63568287017	2461149.63568287	2461149.635335648	2461149.6363197793	2461149.6371077388	1.0838378956086008	67.28279347519965	-5	NaN	9.7292975	55.95251944444445	1.8194823741094708	0	0.0006665153170657	0	2729.8433022059758	0	14816506.163902134	4499.952707470004	9.729313013668587	55.95243577283676	26958371.81110426	5521.552500495439	11.05013036800705	0.0003976555680811	59264	9.708086388929377	56.18728018078966	14816506.163902134	4499.952707470004	11.7	0.0003297011952623	65220
W Ursae Majoris_60sec_2x2__0012_Processed_I.fits	65220	61149.636446759105	2461149.636446759	2461149.636099537	2461149.637083611	2461149.63787157	1.0841980099601027	67.23723596711791	-4.9	NaN	9.7292975	55.95251944444445	1.8323407346884242	0	0.0006750610513328	0	2714.3333644723302	0	14711977.442634154	4503.0295971179	9.729308669730898	55.95240649267588	26957355.55595579	5527.5634194169825	11.042484408772882	0.0003999273882671	59264	9.708079848854366	56.18734663426846	14711977.442634154	4503.0295971179	11.7	0.0003322703701969	65220
W Ursae Majoris_60sec_2x2__0013_Processed_I.fits	65220	61149.63719907403	2461149.637199074	2461149.636851852	2461149.637835869	2461149.638623828	1.0845651719051992	67.19090663156682	-4.9	NaN	9.7292975	55.95251944444445	1.8257598582626549	0	0.0006679798294738	0	2733.255972266453	0	14808132.248082444	4494.133219581583	9.729310897865538	55.95242911512543	27036093.43439365	5524.21933042944	11.04639086422482	0.0003971591568082	59264	9.708087324447714	56.18726451560431	14808132.248082444	4494.133219581583	11.7	0.0003294610542559	65220
W Ursae Majoris_60sec_2x2__0014_Processed_I.fits	65220	61149.63796296297	2461149.637962963	2461149.6376157408	2461149.6385997003	2461149.6393876597	1.084950695937261	67.1423896362627	-4.9	NaN	9.7292975	55.95251944444445	1.8265921218265084	0	0.0006596627257513	0	2768.978828910176	0	15095067.962311149	4520.724469743308	9.729311686404033	55.952414354752214	27572532.21839327	5564.911063145304	11.045896049538971	0.0003920362940567	59264	9.708085289321831	56.187267594740895	15095067.962311149	4520.724469743308	11.7	0.0003251114475156	65220
W Ursae Majoris_60sec_2x2__0015_Processed_I.fits	65220	61149.6387268519	2461149.638726852	2461149.6383796297	2461149.6393635315	2461149.640151491	1.0853490484936834	67.09239645386589	-4.9	NaN	9.7292975	55.95251944444445	1.831630595892887	0	0.0006622004141432	0	2765.976216222482	0	15057207.101334218	4516.70541786139	9.729311316678201	55.9524177762516	27579241.2154994	5565.71250458548	11.042905276372984	0.0003924617931697	59264	9.708086118093895	56.18726786503994	15057207.101334218	4516.70541786139	11.7	0.0003256390905857	65220
W Ursae Majoris_60sec_2x2__0016_Processed_I.fits	65220	61149.63947916683	2461149.639479167	2461149.6391319446	2461149.6401157896	2461149.640903749	1.0857539220654717	67.04172789384835	-4.9	NaN	9.7292975	55.95251944444445	1.8234480333747871	0	0.0006573284220177	0	2774.0288907294425	0	15144891.902047997	4525.101000135436	9.729311527026699	55.95242558365507	27615923.35446316	5569.707227712408	11.047766522937694	0.0003913227287485	59264	9.708086593789954	56.18726122963595	15144891.902047997	4525.101000135436	11.7	0.0003243557090518	65220
W Ursae Majoris_60sec_2x2__0017_Processed_I.fits	65220	61149.64023148129	2461149.6402314813	2461149.639884259	2461149.6408680473	2461149.6416560067	1.0861712746910113	66.989647492371	-4.9	NaN	9.7292975	55.95251944444445	1.8329903119077833	0	0.0006663830673957	0	2750.655593743455	0	14938482.633736795	4507.336076150794	9.72931108959836	55.95242638101541	27382093.942242213	5553.200685634892	11.042099576132522	0.0003946473326269	59264	9.708086009336077	56.187284935765334	14938482.633736795	4507.336076150794	11.7	0.0003275459725116	65220
W Ursae Majoris_60sec_2x2__0018_Processed_I.fits	65220	61149.640995370224	2461149.64099537	2461149.640648148	2461149.6416318784	2461149.642419838	1.0866078366950793	66.93533166540473	-4.9	NaN	9.7292975	55.95251944444445	1.8384752164491216	0	0.0006683896812282	0	2750.6038289983126	0	14924011.814528035	4505.523299341177	9.729310128151578	55.95243055362465	27437425.851003677	5557.7684881157475	11.038855550647622	0.0003946547583076	59264	9.708084686040099	56.187278643900086	14924011.814528035	4505.523299341177	11.7	0.0003277316826091	65220
W Ursae Majoris_60sec_2x2__0019_Processed_I.fits	65220	61149.64174768515	2461149.641747685	2461149.641400463	2461149.642384137	2461149.643172096	1.0870503986094688	66.8804368563998	-4.9	NaN	9.7292975	55.95251944444445	1.8349846539206836	0	0.0006692824329738	0	2741.719434898821	0	14847021.38303549	4495.443946261079	9.729311906344105	55.95241548500048	27244056.39430237	5540.201536651299	11.04091890856438	0.0003959333826363	59264	9.708085166588836	56.18728992442376	14847021.38303549	4495.443946261079	11.7	0.0003286940422237	65220
W Ursae Majoris_60sec_2x2__0020_Processed_I.fits	65220	61149.642511574086	2461149.642511574	2461149.642164352	2461149.643147968	2461149.643935927	1.0875125985292227	66.8232848846938	-5	NaN	9.7292975	55.95251944444445	1.8607957974429323	0	0.0006887573867613	0	2701.670912297205	0	14461074.996788649	4457.557927500473	9.729311398672028	55.95240438347903	26909107.580531385	5514.032795389117	11.0257532086422	0.0004018014597851	59264	9.708084218136086	56.18726942554905	14461074.996788649	4457.557927500473	11.7	0.000334621476534	65220
W Ursae Majoris_60sec_2x2__0021_Processed_I.fits	65220	61149.64326388901	2461149.643263889	2461149.642916667	2461149.6439002263	2461149.6446881853	1.0879804515306148	66.76561844710213	-4.9	NaN	9.7292975	55.95251944444445	1.8568602488450279	0	0.000684406862706	0	2713.0941403822535	0	14572373.127496105	4471.012583005129	9.729310975158537	55.95241727221583	27058860.391785014	5526.788328729262	11.028051952335165	0.0004001100241513	59264	9.708084024076577	56.187285042287506	14572373.127496105	4471.012583005129	11.7	0.0003330683103293	65220
W Ursae Majoris_60sec_2x2__0022_Processed_I.fits	65220	61149.64401620347	2461149.6440162035	2461149.6436689813	2461149.644652484	2461149.645440443	1.0884608851815794	66.70659308580863	-4.9	NaN	9.7292975	55.95251944444445	1.8377888946542624	0	0.0006709612524773	0	2739.038786321659	0	14824418.209379498	4494.662372775048	9.72931297463191	55.95240434886045	27244151.15490807	5541.072096698624	11.039260942864791	0.0003963208048867	59264	9.708085417304833	56.18727648604156	14824418.209379498	4494.662372775048	11.7	0.0003291379096876	65220
W Ursae Majoris_60sec_2x2__0023_Processed_I.fits	65220	61149.644768518396	2461149.6447685184	2461149.644421296	2461149.645404742	2461149.646192701	1.0889539220479092	66.64621972149287	-4.9	NaN	9.7292975	55.95251944444445	1.8218050944819622	0	0.0006606786855964	0	2757.475205723401	0	15007870.58873536	4510.756457164722	9.72931191300131	55.95240893147277	27341415.095884085	5548.320258390717	11.048745219503537	0.0003936714929126	59264	9.708084981262257	56.1872808996975	15007870.58873536	4510.756457164722	11.7	0.0003262791827349	65220
W Ursae Majoris_60sec_2x2__0024_Processed_I.fits	65160	61149.64553240733	2461149.6455324073	2461149.645185185	2461149.6461685733	2461149.6469565327	1.089467462509375	66.58354975758438	-4.9	NaN	9.7292975	55.95251944444445	1.8209417011625244	0	0.0006588665178003	0	2763.749032568609	0	15064516.56823496	4516.324234808934	9.729311702332717	55.95240085059725	27431606.4269528	5557.165756451111	11.049259895629001	0.0003927780036482	59264	9.708084118770953	56.1872777895439	15064516.56823496	4516.324234808934	11.7	0.0003254536460942	65160
