HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459195.54212,2020-12-12.0424451,bi,1.48,16.045,>16.045,99.990,0.339,0.277,g
2459195.84895,2020-12-12.3492833,bE,1.50,16.067,>16.067,99.990,0.423,0.272,g
2459195.85024,2020-12-12.3505680,bE,1.52,15.938,>15.938,99.990,0.330,0.306,g
2459195.85153,2020-12-12.3518568,bE,1.46,15.799,>15.799,99.990,0.287,0.348,g
2459196.64741,2020-12-13.1477533,bE,1.49,16.009,>16.009,99.990,0.284,0.287,g
2459196.64871,2020-12-13.1490530,bE,1.54,16.079,>16.079,99.990,0.767,0.269,g
2459196.65000,2020-12-13.1503366,bE,1.51,16.054,>16.054,99.990,0.561,0.275,g
2459197.63430,2020-12-14.1346348,bi,1.47,15.942,>15.942,99.990,0.322,0.305,g
2459197.63552,2020-12-14.1358556,bi,1.36,15.962,>15.962,99.990,0.640,0.299,g
2459197.63675,2020-12-14.1370842,bi,1.49,16.094,>16.094,99.990,0.701,0.265,g
2459198.31163,2020-12-14.8119729,bm,2.27,16.168,>16.168,99.990,0.032,0.248,g
2459198.31286,2020-12-14.8132028,bm,2.25,99.990,99.990,99.990,99.990,99.990,g
2459198.31410,2020-12-14.8144337,bm,2.23,16.114,>16.114,99.990,0.311,0.260,g
2459198.77547,2020-12-15.2758087,bi,1.47,15.850,>15.850,99.990,0.688,0.332,g
2459198.77671,2020-12-15.2770482,bi,1.42,15.916,>15.916,99.990,0.421,0.312,g
2459198.77793,2020-12-15.2782722,bi,1.37,15.926,>15.926,99.990,0.356,0.309,g
2459198.78697,2020-12-15.2873190,bi,1.42,15.988,>15.988,99.990,0.543,0.292,g
2459198.78823,2020-12-15.2885690,bi,1.41,15.897,>15.897,99.990,0.539,0.318,g
2459198.78947,2020-12-15.2898072,bi,1.39,15.928,>15.928,99.990,0.515,0.309,g
2459199.46606,2020-12-15.9664130,bm,1.50,16.117,>16.117,99.990,0.308,0.260,g
2459199.46730,2020-12-15.9676557,bm,1.53,15.938,>15.938,99.990,0.289,0.306,g
2459199.46853,2020-12-15.9688835,bm,1.54,16.081,>16.081,99.990,0.259,0.268,g
2459199.49879,2020-12-15.9991445,bm,1.51,16.090,>16.090,99.990,0.397,0.266,g
2459199.50003,2020-12-16.0003737,bm,1.46,16.071,>16.071,99.990,0.621,0.271,g
2459199.50125,2020-12-16.0016052,bm,1.59,16.024,>16.024,99.990,0.359,0.283,g
2459200.35624,2020-12-16.8565847,bm,1.54,15.930,>15.930,99.990,0.316,0.308,g
2459200.35748,2020-12-16.8578252,bm,1.47,16.015,>16.015,99.990,0.577,0.285,g
2459200.35870,2020-12-16.8590494,bm,1.50,16.061,>16.061,99.990,0.442,0.273,g
2459200.38992,2020-12-16.8902631,bm,1.55,15.978,>15.978,99.990,0.235,0.295,g
2459200.39114,2020-12-16.8914907,bm,1.46,16.088,>16.088,99.990,0.504,0.267,g
2459200.39239,2020-12-16.8927408,bm,1.48,15.943,>15.943,99.990,0.249,0.305,g
2459200.41607,2020-12-16.9164168,bm,1.50,15.911,>15.911,99.990,0.396,0.314,g
2459200.41729,2020-12-16.9176399,bm,1.50,16.089,>16.089,99.990,0.546,0.266,g
2459200.41853,2020-12-16.9188798,bm,1.49,99.990,99.990,99.990,99.990,99.990,g
2459200.83712,2020-12-17.3374677,bi,1.40,15.971,>15.971,99.990,0.349,0.297,g
2459200.83834,2020-12-17.3386991,bi,1.46,15.937,>15.937,99.990,0.351,0.306,g
2459200.83957,2020-12-17.3399202,bi,1.44,15.981,>15.981,99.990,0.447,0.294,g
2459201.38030,2020-12-17.8806590,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2459201.38156,2020-12-17.8819098,bm,1.53,16.122,>16.122,99.990,0.318,0.258,g
2459201.38284,2020-12-17.8831902,bm,1.54,99.990,99.990,99.990,99.990,99.990,g
2459201.84548,2020-12-18.3458381,bi,1.44,15.965,>15.965,99.990,0.513,0.299,g
2459201.84671,2020-12-18.3470709,bi,1.45,15.930,>15.930,99.990,0.389,0.308,g
2459201.84795,2020-12-18.3483059,bi,1.37,16.105,>16.105,99.990,0.077,0.262,g
2459202.35015,2020-12-18.8505153,bm,1.51,16.070,>16.070,99.990,0.436,0.271,g
2459202.35138,2020-12-18.8517390,bm,1.47,15.942,>15.942,99.990,0.234,0.305,g
2459202.35261,2020-12-18.8529749,bm,1.51,15.955,>15.955,99.990,0.661,0.301,g
2459202.60282,2020-12-19.1031822,bi,1.38,15.902,>15.902,99.990,0.403,0.317,g
2459202.60406,2020-12-19.1044204,bi,1.46,16.078,>16.078,99.990,0.563,0.269,g
2459202.60529,2020-12-19.1056483,bi,1.45,15.996,>15.996,99.990,0.410,0.290,g
2459203.50463,2020-12-20.0049968,bm,1.55,16.015,>16.015,99.990,0.364,0.285,g
2459203.50586,2020-12-20.0062269,bm,1.64,16.054,>16.054,99.990,0.540,0.275,g
