HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460023.59517,2023-03-20.0952065,bk,1.62,16.931,16.893,0.212,0.635,0.123,g
2460023.59642,2023-03-20.0964592,bk,1.58,16.960,16.940,0.215,0.608,0.119,g
2460023.59767,2023-03-20.0977106,bk,1.55,17.176,16.862,0.164,0.653,0.098,g
2460024.63531,2023-03-21.1353403,bG,1.57,17.098,16.812,0.168,0.684,0.105,g
2460024.63661,2023-03-21.1366452,bG,1.58,16.948,16.928,0.215,0.615,0.121,g
2460024.63790,2023-03-21.1379231,bG,1.59,16.916,>16.916,99.990,0.509,0.124,g
2460026.25868,2023-03-22.7586832,bo,1.44,16.532,>16.532,99.990,0.557,0.177,g
2460026.25992,2023-03-22.7599195,bo,1.46,16.169,>16.169,99.990,0.123,0.247,g
2460026.26141,2023-03-22.7614078,bo,1.48,15.558,>15.558,99.990,1.174,0.434,g
2460026.49425,2023-03-22.9942464,bk,2.23,16.459,>16.459,99.990,0.908,0.189,g
2460026.49549,2023-03-22.9954839,bk,2.11,16.581,>16.581,99.990,0.164,0.169,g
2460026.49673,2023-03-22.9967284,bk,2.1,16.802,>16.802,99.990,0.423,0.138,g
2460027.62264,2023-03-24.1226200,bG,1.76,16.959,16.879,0.204,0.643,0.120,g
2460027.62393,2023-03-24.1239114,bG,1.73,16.905,16.712,0.184,0.750,0.126,g
2460027.62521,2023-03-24.1251945,bG,1.73,17.017,16.583,0.147,0.845,0.113,g
2460028.56943,2023-03-25.0694092,bk,2.15,16.769,>16.769,99.990,0.553,0.142,g
2460028.57068,2023-03-25.0706498,bk,2.18,16.939,>16.939,99.990,0.359,0.122,g
2460028.57192,2023-03-25.0718879,bk,2.18,16.966,16.605,0.157,0.828,0.119,g
2460029.62470,2023-03-26.1246488,bG,1.57,16.957,16.598,0.157,0.833,0.120,g
2460030.57030,2023-03-27.0702368,bk,1.51,17.013,16.653,0.157,0.793,0.114,g
2460030.57154,2023-03-27.0714760,bk,1.52,16.836,>16.836,99.990,0.626,0.134,g
2460030.57278,2023-03-27.0727215,bk,1.53,17.077,>17.077,99.990,0.475,0.107,g
