Re,UA_W_K,actual_flow_mL_s,average_outlet_C,coil_diameter_cm,coil_height_cm,final_ice_remaining_g,final_outlet_C,max_gravity_flow_mL_s,outer_h_W_m2K,prechill_tube_enabled,pressure_ratio_requested,requested_flow_mL_s,residence_time_s,rod_enabled,target_outlet_C,tube_length_m,turns,warning_count,warnings
913.9743915204206,27.306458857461934,2.0,3.1394837606730515,11.0,13.334999999999997,699.186161520163,3.1394837606730404,6.0174350305541635,1200.0,False,0.11233345717906837,2.0,39.69426681033554,True,5.0,4.8398900834754,14.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.
927.8219338204033,23.718998272812865,2.0,4.842328829270044,6.0,24.764999999999997,701.5829181238877,4.842328829270062,5.972696066817285,750.0,False,0.1137889487019494,2.0,40.24579635010336,False,5.0,4.907137637461483,26.0,0,
923.9705159449451,24.56952336189721,2.0,4.369546988059443,6.0,24.764999999999997,703.7655345667889,4.3695469880594375,5.972696066817285,750.0,False,0.1137889487019494,2.0,40.24579635010336,True,5.0,4.907137637461483,26.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.
914.970328645369,26.988957794476157,2.0,3.262233167089506,6.0,24.764999999999997,695.700417675609,3.2622331670895237,5.972696066817285,1200.0,False,0.1137889487019494,2.0,40.24579635010336,False,5.0,4.907137637461483,26.0,0,
912.8800698197414,27.670143448345264,2.0,3.0045581519178888,6.0,24.764999999999997,698.6838501899105,3.0045581519179003,5.972696066817285,1200.0,False,0.1137889487019494,2.0,40.24579635010336,True,5.0,4.907137637461483,26.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.
923.9154802685839,24.582394074578346,2.0,4.362786466791946,9.0,17.145,699.7976413018738,4.36278646679196,5.853949981057689,750.0,False,0.11779585220773783,2.0,41.76413267271359,False,5.0,5.092267166274656,18.0,0,
920.3350178845262,25.46270362555804,2.0,3.922686179400704,9.0,17.145,702.1019271219038,3.922686179400712,5.853949981057689,750.0,False,0.11779585220773783,2.0,41.76413267271359,True,5.0,5.092267166274656,18.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.
912.0238176159979,27.9664200713762,2.0,2.8989487820267783,9.0,17.145,694.3479549044442,2.8989487820267748,5.853949981057689,1200.0,False,0.11779585220773783,2.0,41.76413267271359,False,5.0,5.092267166274656,18.0,0,
910.1066065197522,28.671216687243096,2.0,2.6623641739527986,9.0,17.145,697.4099043922242,2.6623641739528052,5.853949981057689,1200.0,False,0.11779585220773783,2.0,41.76413267271359,True,5.0,5.092267166274656,18.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.
922.0543908109111,25.028163134305935,2.0,4.134095628809325,7.5,20.954999999999995,698.9462536364779,4.1340956288093444,5.795037607868046,750.0,False,0.11986487997944713,2.0,42.548149561000855,False,5.0,5.18786171601227,22.0,0,
918.6076671344974,25.92384934254534,2.0,3.7101668744631486,7.5,20.954999999999995,701.310744071107,3.7101668744631344,5.795037607868046,750.0,False,0.11986487997944713,2.0,42.548149561000855,True,5.0,5.18786171601227,22.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.
910.6344649934053,28.47107774616396,2.0,2.727518357615011,7.5,20.954999999999995,693.7097406668194,2.7275183576150153,5.795037607868046,1200.0,False,0.11986487997944713,2.0,42.548149561000855,False,5.0,5.18786171601227,22.0,0,
