JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460536.912205,16.847,0.097,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.311|CMAGINS=16.962|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.329|KREFMAG=12.892|KREFERR= 0.006,0,1.631,Z,16.962,17.329,,LMC V1341,VVS,STD,,,,
2460536.912772,16.841,0.103,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.316|CMAGINS=16.974|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.328|KREFMAG=12.892|KREFERR= 0.005,0,1.630,Z,16.974,17.328,,LMC V1341,VVS,STD,,,,
2460536.913351,17.011,0.121,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.479|CMAGINS=16.967|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.338|KREFMAG=12.892|KREFERR= 0.005,0,1.628,Z,16.967,17.338,,LMC V1341,VVS,STD,,,,
2460536.913918,16.725,0.084,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.187|CMAGINS=16.961|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.326|KREFMAG=12.892|KREFERR= 0.005,0,1.627,Z,16.961,17.326,,LMC V1341,VVS,STD,,,,
2460536.914497,17.019,0.125,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.488|CMAGINS=16.967|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.323|KREFMAG=12.892|KREFERR= 0.006,0,1.625,Z,16.967,17.323,,LMC V1341,VVS,STD,,,,
2460537.911510,17.166,0.118,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.627|CMAGINS=16.960|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.317|KREFMAG=12.892|KREFERR= 0.005,0,1.626,Z,16.960,17.317,,LMC V1341,VVS,STD,,,,
2460537.912089,17.425,0.164,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.887|CMAGINS=16.961|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.325|KREFMAG=12.892|KREFERR= 0.005,0,1.625,Z,16.961,17.325,,LMC V1341,VVS,STD,,,,
2460537.912656,17.296,0.144,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.758|CMAGINS=16.962|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.322|KREFMAG=12.892|KREFERR= 0.005,0,1.623,Z,16.962,17.322,,LMC V1341,VVS,STD,,,,
2460537.913235,17.415,0.168,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.877|CMAGINS=16.961|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.320|KREFMAG=12.892|KREFERR= 0.005,0,1.622,Z,16.961,17.320,,LMC V1341,VVS,STD,,,,
2460537.913802,17.313,0.144,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.765|CMAGINS=16.951|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.319|KREFMAG=12.892|KREFERR= 0.006,0,1.620,Z,16.951,17.319,,LMC V1341,VVS,STD,,,,
2460537.914369,17.268,0.152,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.724|CMAGINS=16.955|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.327|KREFMAG=12.892|KREFERR= 0.005,0,1.619,Z,16.955,17.327,,LMC V1341,VVS,STD,,,,
2460538.904693,16.739,0.098,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.345|CMAGINS=17.105|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.468|KREFMAG=12.892|KREFERR= 0.006,0,1.637,Z,17.105,17.468,,LMC V1341,VVS,STD,,,,
2460538.905272,16.904,0.115,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.526|CMAGINS=17.121|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.480|KREFMAG=12.892|KREFERR= 0.006,0,1.635,Z,17.121,17.480,,LMC V1341,VVS,STD,,,,
2460538.905839,16.979,0.130,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.608|CMAGINS=17.128|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.493|KREFMAG=12.892|KREFERR= 0.006,0,1.634,Z,17.128,17.493,,LMC V1341,VVS,STD,,,,
2460538.906418,16.779,0.106,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.362|CMAGINS=17.082|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.448|KREFMAG=12.892|KREFERR= 0.006,0,1.632,Z,17.082,17.448,,LMC V1341,VVS,STD,,,,
2460538.906985,16.853,0.103,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.411|CMAGINS=17.057|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.420|KREFMAG=12.892|KREFERR= 0.006,0,1.631,Z,17.057,17.420,,LMC V1341,VVS,STD,,,,
2460538.907552,16.863,0.107,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.413|CMAGINS=17.049|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.423|KREFMAG=12.892|KREFERR= 0.006,0,1.629,Z,17.049,17.423,,LMC V1341,VVS,STD,,,,
2460539.904404,16.806,0.095,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.313|CMAGINS=17.006|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.377|KREFMAG=12.892|KREFERR= 0.006,0,1.630,Z,17.006,17.377,,LMC V1341,VVS,STD,,,,
2460539.904983,16.854,0.093,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.360|CMAGINS=17.005|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.371|KREFMAG=12.892|KREFERR= 0.005,0,1.629,Z,17.005,17.371,,LMC V1341,VVS,STD,,,,
2460539.905550,16.795,0.088,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.301|CMAGINS=17.005|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.366|KREFMAG=12.892|KREFERR= 0.005,0,1.627,Z,17.005,17.366,,LMC V1341,VVS,STD,,,,
2460539.906117,16.695,0.080,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.203|CMAGINS=17.007|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.370|KREFMAG=12.892|KREFERR= 0.006,0,1.626,Z,17.007,17.370,,LMC V1341,VVS,STD,,,,
2460539.906696,16.832,0.093,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.344|CMAGINS=17.011|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.388|KREFMAG=12.892|KREFERR= 0.006,0,1.624,Z,17.011,17.388,,LMC V1341,VVS,STD,,,,
2460539.907263,16.728,0.084,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.240|CMAGINS=17.011|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.379|KREFMAG=12.892|KREFERR= 0.006,0,1.623,Z,17.011,17.379,,LMC V1341,VVS,STD,,,,
2460540.904022,16.836,0.130,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.347|CMAGINS=17.011|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.384|KREFMAG=12.892|KREFERR= 0.006,0,1.624,Z,17.011,17.384,,LMC V1341,VVS,STD,,,,
2460540.904601,16.835,0.138,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.350|CMAGINS=17.014|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.376|KREFMAG=12.892|KREFERR= 0.006,0,1.623,Z,17.014,17.376,,LMC V1341,VVS,STD,,,,
2460540.905168,16.866,0.129,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.376|CMAGINS=17.009|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.371|KREFMAG=12.892|KREFERR= 0.006,0,1.621,Z,17.009,17.371,,LMC V1341,VVS,STD,,,,
2460540.905747,16.817,0.134,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.326|CMAGINS=17.008|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.386|KREFMAG=12.892|KREFERR= 0.006,0,1.620,Z,17.008,17.386,,LMC V1341,VVS,STD,,,,
2460540.906314,16.885,0.128,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.384|CMAGINS=16.998|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.372|KREFMAG=12.892|KREFERR= 0.006,0,1.618,Z,16.998,17.372,,LMC V1341,VVS,STD,,,,
2460540.906892,16.689,0.102,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.193|CMAGINS=17.003|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.374|KREFMAG=12.892|KREFERR= 0.006,0,1.617,Z,17.003,17.374,,LMC V1341,VVS,STD,,,,
2460541.901545,16.775,0.160,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.291|CMAGINS=17.015|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.377|KREFMAG=12.892|KREFERR= 0.007,0,1.624,Z,17.015,17.377,,LMC V1341,VVS,STD,,,,
2460541.902124,17.147,0.225,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.671|CMAGINS=17.023|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.381|KREFMAG=12.892|KREFERR= 0.007,0,1.622,Z,17.023,17.381,,LMC V1341,VVS,STD,,,,
2460541.902691,16.843,0.170,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.359|CMAGINS=17.016|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.378|KREFMAG=12.892|KREFERR= 0.007,0,1.621,Z,17.016,17.378,,LMC V1341,VVS,STD,,,,
2460541.903270,17.066,0.217,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.577|CMAGINS=17.010|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.381|KREFMAG=12.892|KREFERR= 0.007,0,1.619,Z,17.010,17.381,,LMC V1341,VVS,STD,,,,
2460541.903837,17.191,0.243,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.700|CMAGINS=17.008|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.367|KREFMAG=12.892|KREFERR= 0.007,0,1.618,Z,17.008,17.367,,LMC V1341,VVS,STD,,,,
2460541.904404,17.052,0.204,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.556|CMAGINS=17.002|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.375|KREFMAG=12.892|KREFERR= 0.007,0,1.616,Z,17.002,17.375,,LMC V1341,VVS,STD,,,,
2460543.902135,17.021,0.211,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.620|CMAGINS=17.099|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.458|KREFMAG=12.892|KREFERR= 0.007,0,1.608,Z,17.099,17.458,,LMC V1341,VVS,STD,,,,
2460543.902714,16.838,0.171,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.447|CMAGINS=17.109|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.483|KREFMAG=12.892|KREFERR= 0.007,0,1.607,Z,17.109,17.483,,LMC V1341,VVS,STD,,,,
