HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459560.85110,2021-12-12.3515746,bi,1.42,16.222,>16.222,99.990,0.470,0.236,g
2459560.85235,2021-12-12.3528282,bi,1.43,16.065,>16.065,99.990,0.245,0.272,g
2459561.60264,2021-12-13.1031192,bF,1.51,99.990,99.990,99.990,99.990,99.990,g
2459561.60264,2021-12-13.1031204,bE,1.48,16.381,>16.381,99.990,-0.496,0.204,g
2459561.60391,2021-12-13.1043917,bF,1.47,99.990,99.990,99.990,99.990,99.990,g
2459561.60392,2021-12-13.1043935,bE,1.52,16.427,>16.427,99.990,-0.208,0.195,g
2459561.60519,2021-12-13.1056687,bF,1.5,99.990,99.990,99.990,99.990,99.990,g
2459561.60519,2021-12-13.1056697,bE,1.45,16.360,>16.360,99.990,-0.025,0.208,g
2459561.64181,2021-12-13.1422976,bF,1.52,99.990,99.990,99.990,99.990,99.990,g
2459561.64182,2021-12-13.1422974,bE,1.5,16.254,>16.254,99.990,0.081,0.229,g
2459561.64311,2021-12-13.1435934,bF,1.58,99.990,99.990,99.990,99.990,99.990,g
2459561.64311,2021-12-13.1435935,bE,1.44,16.478,>16.478,99.990,-0.078,0.186,g
2459561.64441,2021-12-13.1448898,bF,1.63,99.990,99.990,99.990,99.990,99.990,g
2459561.64441,2021-12-13.1448901,bE,1.54,16.429,>16.429,99.990,0.092,0.195,g
2459563.37024,2021-12-14.8707387,bm,2.02,15.989,>15.989,99.990,0.038,0.292,g
2459563.37148,2021-12-14.8719795,bm,1.98,15.971,>15.971,99.990,0.178,0.297,g
2459563.37274,2021-12-14.8732328,bm,2.0,16.075,>16.075,99.990,0.283,0.270,g
2459563.61280,2021-12-15.1133028,bF,1.7,99.990,99.990,99.990,99.990,99.990,g
2459563.61280,2021-12-15.1133042,bE,1.43,16.234,>16.234,99.990,0.391,0.233,g
2459563.61410,2021-12-15.1145944,bF,1.66,99.990,99.990,99.990,99.990,99.990,g
2459563.61410,2021-12-15.1145951,bE,1.46,16.211,>16.211,99.990,-0.609,0.238,g
2459563.61539,2021-12-15.1158859,bF,1.7,99.990,99.990,99.990,99.990,99.990,g
2459563.61539,2021-12-15.1158870,bE,1.48,16.101,>16.101,99.990,0.345,0.264,g
2459563.83672,2021-12-15.3372247,bE,1.55,16.662,>16.662,99.990,0.086,0.157,g
2459563.83802,2021-12-15.3385177,bE,1.52,16.651,>16.651,99.990,0.093,0.159,g
2459563.83932,2021-12-15.3398166,bE,1.5,16.588,>16.588,99.990,0.017,0.168,g
2459564.30783,2021-12-15.8083385,bm,2.08,15.910,>15.910,99.990,0.300,0.314,g
2459564.30908,2021-12-15.8095839,bm,2.01,15.899,>15.899,99.990,0.479,0.317,g
2459564.31033,2021-12-15.8108394,bm,2.05,16.249,>16.249,99.990,-0.324,0.230,g
2459564.58695,2021-12-16.0874526,bi,1.46,15.871,>15.871,99.990,-0.264,0.326,g
2459564.58818,2021-12-16.0886883,bi,1.44,15.847,>15.847,99.990,-0.083,0.333,g
