requested_flow_mL_s,turns,coil_diameter_cm,outer_h_W_m2K,prechill_tube_enabled,avg_outlet_no_rod_C,final_outlet_no_rod_C,ice_remaining_no_rod_g,pressure_ratio_no_rod,tube_length_m_no_rod,avg_outlet_with_rod_C,final_outlet_with_rod_C,ice_remaining_with_rod_g,pressure_ratio_with_rod,tube_length_m_with_rod,rod_delta_avg_C,rod_delta_final_C,rod_extra_ice_remaining_g
10.0,26.0,6.0,250.0,False,41.13121890473018,41.13121890473033,836.6819613305756,2.447159399838706,4.907137637461483,38.6627319803416,38.66273198034172,831.4348149259663,2.447159399838706,4.907137637461483,2.4684869243885856,2.468486924388614,-5.247146404609339
6.0,26.0,6.0,250.0,False,41.13121890473018,41.13121890473033,836.6819613305756,1.0078891841663289,4.907137637461483,38.6627319803416,38.66273198034172,831.4348149259663,1.0078891841663289,4.907137637461483,2.4684869243885856,2.468486924388614,-5.247146404609339
8.0,8.0,11.0,750.0,False,34.99802525471508,34.99802525471509,813.8488409955282,0.9875086778793568,2.7656514762716573,32.53182551611408,32.53182551611418,808.6102095003351,0.9875086778793568,2.7656514762716573,2.4661997386009986,2.4661997386009062,-5.23863149519309
10.0,10.0,9.0,750.0,False,34.267846031671226,34.26784603167143,811.1304741841565,1.491073162181422,2.829037314597031,31.806491231800276,31.806491231800223,805.9098797957719,1.491073162181422,2.829037314597031,2.46135479987095,2.4613547998712093,-5.2205943883845976
8.0,10.0,9.0,750.0,False,34.267846031671226,34.26784603167143,811.1304741841565,1.007361761372821,2.829037314597031,31.806491231800276,31.806491231800223,805.9098797957719,1.007361761372821,2.829037314597031,2.46135479987095,2.4613547998712093,-5.2205943883845976
10.0,12.0,7.5,750.0,False,34.25933983313172,34.25933983313152,811.0988066605254,1.491397718737952,2.829742754188511,31.7982082051231,31.79820820512312,805.8790431133422,1.491397718737952,2.829742754188511,2.4611316280086193,2.461131628008399,-5.21976354718322
8.0,12.0,7.5,750.0,False,34.25933983313172,34.25933983313152,811.0988066605254,1.0075827121637115,2.829742754188511,31.7982082051231,31.79820820512312,805.8790431133422,1.0075827121637115,2.829742754188511,2.4611316280086193,2.461131628008399,-5.21976354718322
6.0,20.0,7.5,250.0,False,42.29495308884021,42.29495308884016,841.0143995642429,0.9713337163991672,4.716237923647518,39.83828977886167,39.83828977886177,835.8112710116909,0.9713337163991672,4.716237923647518,2.4566633099785378,2.4566633099783886,-5.203128552552016
8.0,14.0,6.0,750.0,False,36.41087190331711,36.41087190331705,819.108694080777,0.9488752811276056,2.642304881710029,33.95559475534502,33.95559475534499,813.9107260376894,0.9488752811276056,2.642304881710029,2.4552771479720903,2.455277147972062,-5.197968043087599
8.0,18.0,6.0,250.0,False,52.7209960602748,52.72099606027499,879.8292662340048,1.185331430674538,3.3972491336271804,50.267308451644624,50.267308451644496,874.6372158490032,1.185331430674538,3.3972491336271804,2.453687608630176,2.4536876086304957,-5.1920503850016075
10.0,18.0,6.0,250.0,False,52.7209960602748,52.72099606027499,879.8292662340048,1.7524943718659034,3.3972491336271804,50.267308451644624,50.267308451644496,874.6372158490032,1.7524943718659034,3.3972491336271804,2.453687608630176,2.4536876086304957,-5.1920503850016075
