Re,UA_W_K,actual_flow_mL_s,average_outlet_C,coil_diameter_cm,coil_height_cm,final_ice_remaining_g,final_outlet_C,max_gravity_flow_mL_s,outer_h_W_m2K,prechill_tube_enabled,pressure_ratio_requested,requested_flow_mL_s,residence_time_s,rod_enabled,target_outlet_C,tube_length_m,turns,warning_count,warnings,cold_enough,gravity_ok,ice_ok,warnings_ok,length_ok,passes_practical_filter,design_score
1380.5078175622484,38.19275145828002,3.0,3.923119999966854,9.0,26.669999999999995,698.1608175005696,3.9231199999668456,4.581917969673469,750.0,False,0.4891946112158123,3.0,43.31095240133261,False,5.0,7.921304480871687,28.0,0,,True,True,True,True,True,True,8.74128268049636
893.5072629155874,40.909523136233545,2.0,0.6070993142762144,7.5,30.48,685.8156831920084,0.6070993142762129,4.708992147784527,1200.0,False,0.1709034970805213,2.0,61.88821754327397,False,5.0,7.545980677836029,32.0,0,,True,True,True,True,True,True,8.743028893771609
895.3911154693642,38.21176281313985,2.0,0.8409809996877352,7.5,32.385,686.6863957394878,0.8409809996877348,4.550751785930784,750.0,False,0.1811112205007361,2.0,65.7562311397286,False,5.0,8.017604470200782,34.0,0,,True,True,True,True,True,True,8.7762927698899
919.768206330512,25.611002364398093,2.0,3.852964527323492,9.0,15.239999999999998,701.842362046554,3.852964527323483,6.238317964734995,1200.0,False,0.1055496377798874,2.0,37.12367348685653,True,5.0,4.52645970335525,16.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,8.78679274664972
919.7026617396946,25.628347106238447,2.0,3.844901201290268,6.0,22.86,701.8123432824128,3.8449012012902632,6.235949117920804,1200.0,False,0.1056190235984982,2.0,37.149965861633866,True,5.0,4.529665511502907,24.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,8.796671963720732
893.3253398051136,41.22350828765047,2.0,0.5845047632052612,11.0,20.954999999999995,685.731566476804,0.5845047632052593,4.688204922148538,1200.0,False,0.172192619934488,2.0,62.37670498767014,False,5.0,7.605541559747057,22.0,0,,True,True,True,True,True,True,8.799360982051088
1372.5435497350063,40.455928762303,3.0,3.2694671484821725,9.0,24.765,695.7273488923934,3.269467148482164,4.777143711487677,1200.0,False,0.4554703407934999,3.0,40.21731294409457,False,5.0,7.35549701795228,26.0,0,,True,True,True,True,True,True,8.859660215736124
1378.809229952725,38.64174261334751,3.0,3.783814448418291,7.5,32.385,697.642200185782,3.7838144484182936,4.550751785930784,750.0,False,0.4949344557647748,3.0,43.83748742648574,False,5.0,8.017604470200782,34.0,0,,True,True,True,True,True,True,8.971691673799732
920.3350178845262,25.46270362555804,2.0,3.922686179400704,9.0,17.145,702.1019271219038,3.922686179400712,5.853949981057689,750.0,False,0.1177958522077378,2.0,41.76413267271359,True,5.0,5.092267166274656,18.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,9.037565850872802
894.4060861494509,39.51242707732353,2.0,0.7187092727598351,11.0,22.86,686.2311932440404,0.718709272759836,4.463421727938905,750.0,False,0.1871574106233429,2.0,68.0473145320038,False,5.0,8.296954428814972,24.0,0,,True,True,True,True,True,True,9.056798883558834
892.4683272075439,42.8880013947471,2.0,0.4780446368272501,9.0,26.669999999999995,685.3352286118877,0.4780446368272529,4.581917969673469,1200.0,False,0.17902692434699,2.0,64.96642860199893,False,5.0,7.921304480871687,28.0,0,,True,True,True,True,True,True,9.08468117494774
892.2395042024898,43.39559820577115,2.0,0.4496139570320622,7.5,32.385,685.2293847122705,0.4496139570320606,4.550751785930784,1200.0,False,0.1811112205007361,2.0,65.7562311397286,False,5.0,8.017604470200782,34.0,0,,True,True,True,True,True,True,9.167659812545573
893.8190249510081,40.39775362418732,2.0,0.645816094072856,9.0,28.575,685.9598209679453,0.6458160940728581,4.406450897623657,750.0,False,0.1912731387748404,2.0,69.606887787856,False,5.0,8.487111943791094,30.0,0,,True,True,True,True,True,True,9.23740447400243
893.8128390129428,40.40760644813207,2.0,0.645047924831524,7.5,34.29,685.9569611689922,0.645047924831522,4.4058276264752125,750.0,False,0.1913189439209509,2.0,69.62424473618321,False,5.0,8.489228262565533,36.0,0,,True,True,True,True,True,True,9.239371406275922
1369.4485488436533,41.46169366907206,3.0,3.0151178268976317,7.5,30.48,694.7804378704394,3.01511782689762,4.708992147784527,1200.0,False,0.466823889267049,3.0,41.25881169551598,False,5.0,7.545980677836029,32.0,0,,True,True,True,True,True,True,9.294214303015469
918.6076671344974,25.92384934254534,2.0,3.7101668744631486,7.5,20.954999999999995,701.310744071107,3.7101668744631344,5.795037607868046,750.0,False,0.1198648799794471,2.0,42.548149561000855,True,5.0,5.18786171601227,22.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,9.304233525935617
916.117918445639,26.6376574714894,2.0,3.4036198479038906,7.5,19.05,700.1695074584785,3.4036198479038826,6.102068719428877,1200.0,False,0.1096571565592323,2.0,38.68013596454623,True,5.0,4.716237923647518,20.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,9.343634990965064
929.10078176461,23.45555747203835,2.0,4.999174290669262,7.5,30.48,706.109559032206,4.999174290669275,4.708992147784527,250.0,False,0.1709034970805213,2.0,61.88821754327397,True,5.0,7.545980677836029,32.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,9.350953917378561
891.649979608514,44.86796980306822,2.0,0.376355844359487,11.0,22.86,684.9566538321408,0.3763558443594854,4.463421727938905,1200.0,False,0.1871574106233429,2.0,68.0473145320038,False,5.0,8.296954428814972,24.0,0,,True,True,True,True,True,True,9.399152311959181
1368.5316326996106,41.77615177105888,3.0,2.9397290364177158,11.0,20.954999999999995,694.4997747407302,2.939729036417728,4.688204922148538,1200.0,False,0.4703739436933284,3.0,41.58446999178009,False,5.0,7.605541559747057,22.0,0,,True,True,True,True,True,True,9.425949946427039
928.2133849033424,23.637771413162103,2.0,4.890346081546502,11.0,20.954999999999995,705.7044050885061,4.8903460815465,4.688204922148538,250.0,False,0.172192619934488,2.0,62.37670498767014,True,5.0,7.605541559747057,22.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,9.493519663709847
891.3047180794664,45.87016956718066,2.0,0.3334439478253881,9.0,28.575,684.796898156175,0.3334439478253889,4.406450897623657,1200.0,False,0.1912731387748404,2.0,69.606887787856,False,5.0,8.487111943791094,30.0,0,,True,True,True,True,True,True,9.549776620249899
891.3011062167411,45.881323062235424,2.0,0.3329950070696161,7.5,34.29,684.7952268053394,0.3329950070696177,4.4058276264752125,1200.0,False,0.1913189439209509,2.0,69.62424473618321,False,5.0,8.489228262565533,36.0,0,,True,True,True,True,True,True,9.551424324037828
916.955853650358,26.39051916142845,2.0,3.5068197090307005,6.0,26.669999999999995,700.5537077596633,3.506819709030688,5.736987764302661,750.0,False,0.1219588738054005,2.0,43.34162683857285,True,5.0,5.284609763420058,28.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,9.562382446220324
1374.2193671942237,39.94405882952016,3.0,3.4071090144056546,11.0,22.86,696.2397725116523,3.407109014405639,4.463421727938905,750.0,False,0.5115847726378638,3.0,45.36487635466919,False,5.0,8.296954428814972,24.0,0,,True,True,True,True,True,True,9.612672762058224
