HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459322.31327,2021-04-17.8131350,bp,1.49,17.066,16.780,0.168,0.705,0.108,g
2459322.31448,2021-04-17.8143488,bp,1.52,17.163,17.129,0.212,0.511,0.099,g
2459323.51664,2021-04-19.0164902,bl,1.49,16.778,>16.778,99.990,0.391,0.141,g
2459323.51786,2021-04-19.0177212,bl,1.5,16.738,16.484,0.173,0.925,0.147,g
2459323.51911,2021-04-19.0189629,bl,1.51,16.793,16.531,0.172,0.887,0.139,g
2459325.30199,2021-04-20.8018302,bp,1.58,16.725,16.707,0.216,0.754,0.148,g
2459325.30322,2021-04-20.8030555,bp,1.59,16.811,>16.811,99.990,0.599,0.137,g
2459325.30444,2021-04-20.8042751,bp,1.56,16.613,>16.613,99.990,0.494,0.164,g
2459327.29730,2021-04-22.7971182,bp,1.48,16.367,>16.367,99.990,0.546,0.206,g
2459327.29853,2021-04-22.7983447,bp,1.53,16.365,>16.365,99.990,0.870,0.207,g
2459327.29975,2021-04-22.7995584,bp,1.52,16.539,>16.539,99.990,0.688,0.176,g
2459328.54424,2021-04-24.0440319,bH,1.4,16.186,>16.186,99.990,0.065,0.244,g
2459329.53556,2021-04-25.0353478,bH,1.46,16.206,>16.206,99.990,0.603,0.239,g
2459329.53684,2021-04-25.0366246,bH,1.46,16.148,>16.148,99.990,1.009,0.252,g
2459329.53812,2021-04-25.0379008,bH,1.46,16.063,>16.063,99.990,0.398,0.273,g
2459331.52604,2021-04-27.0258005,bH,1.44,15.758,15.696,0.207,1.912,0.361,g
2459331.52732,2021-04-27.0270826,bH,1.48,15.668,>15.668,99.990,0.759,0.393,g
2459331.52860,2021-04-27.0283598,bH,1.5,15.656,>15.656,99.990,0.977,0.397,g
2459332.23388,2021-04-27.7336413,bp,1.5,16.207,>16.207,99.990,0.743,0.239,g
2459332.23512,2021-04-27.7348809,bp,1.46,16.157,>16.157,99.990,1.024,0.250,g
