JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458077.75832,13.332,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.597,19.079,,ASASSN-17PF,VVS,STD,,,,
2458077.76047,13.362,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.592,19.040,,ASASSN-17PF,VVS,STD,,,,
2458077.76263,13.363,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.585,19.063,,ASASSN-17PF,VVS,STD,,,,
2458077.76677,13.382,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.595,19.087,,ASASSN-17PF,VVS,STD,,,,
2458077.76892,13.365,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.603,19.096,,ASASSN-17PF,VVS,STD,,,,
2458077.77106,13.356,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.628,19.102,,ASASSN-17PF,VVS,STD,,,,
2458077.77322,13.344,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.619,19.106,,ASASSN-17PF,VVS,STD,,,,
2458077.77538,13.346,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.601,19.080,,ASASSN-17PF,VVS,STD,,,,
2458077.77756,13.363,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.582,19.084,,ASASSN-17PF,VVS,STD,,,,
2458077.77973,13.366,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.584,19.092,,ASASSN-17PF,VVS,STD,,,,
2458077.78191,13.383,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.576,19.103,,ASASSN-17PF,VVS,STD,,,,
2458077.78406,13.372,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.591,19.090,,ASASSN-17PF,VVS,STD,,,,
