JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459196.604867,15.959,0.122,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.480,Z,17.224,15.655,,ASASSN-20OH,VVS,STD,,,,
2459196.605382,15.548,0.096,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.479,Z,16.545,15.082,,ASASSN-20OH,VVS,STD,,,,
2459196.605764,15.249,0.078,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.479,Z,16.541,15.069,,ASASSN-20OH,VVS,STD,,,,
2459197.06045,15.354,0.471,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,13.457,,ASASSN-20OH,AAVSO,STD,,,,
2459197.06389,15.706,0.504,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.735,,ASASSN-20OH,AAVSO,STD,,,,
2459197.06631,15.214,0.472,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.331,,ASASSN-20OH,AAVSO,STD,,,,
2459197.06873,15.608,0.227,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.170,,ASASSN-20OH,AAVSO,STD,,,,
2459197.599826,15.417,0.328,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,17.613,16.114,,ASASSN-20OH,VVS,STD,,,,
2459197.600208,15.088,0.231,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.483,Z,17.612,16.118,,ASASSN-20OH,VVS,STD,,,,
2459197.600625,16.000,0.128,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.483,Z,16.717,15.184,,ASASSN-20OH,VVS,STD,,,,
2459197.601019,15.725,0.102,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.482,Z,16.720,15.184,,ASASSN-20OH,VVS,STD,,,,
2459197.601522,15.656,0.091,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.481,Z,17.164,15.635,,ASASSN-20OH,VVS,STD,,,,
2459197.602078,15.603,0.081,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.480,Z,17.154,15.625,,ASASSN-20OH,VVS,STD,,,,
2459197.602593,15.331,0.079,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.480,Z,16.507,15.026,,ASASSN-20OH,VVS,STD,,,,
2459197.602975,15.564,0.103,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.479,Z,16.516,15.037,,ASASSN-20OH,VVS,STD,,,,
2459198.597037,15.297,0.308,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,17.613,16.094,,ASASSN-20OH,VVS,STD,,,,
2459198.597419,15.230,0.283,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,17.593,16.086,,ASASSN-20OH,VVS,STD,,,,
2459198.597836,16.176,0.159,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.483,Z,16.709,15.207,,ASASSN-20OH,VVS,STD,,,,
2459198.598229,16.214,0.152,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.482,Z,16.703,15.207,,ASASSN-20OH,VVS,STD,,,,
2459198.598733,15.804,0.104,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.481,Z,17.156,15.610,,ASASSN-20OH,VVS,STD,,,,
2459198.599288,15.836,0.101,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.480,Z,17.163,15.631,,ASASSN-20OH,VVS,STD,,,,
2459198.599803,15.517,0.094,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.480,Z,16.540,15.069,,ASASSN-20OH,VVS,STD,,,,
2459198.600185,15.559,0.104,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.479,Z,16.558,15.082,,ASASSN-20OH,VVS,STD,,,,
2459199.594248,15.589,0.434,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,17.680,16.164,,ASASSN-20OH,VVS,STD,,,,
2459199.594630,15.441,0.331,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,17.643,16.138,,ASASSN-20OH,VVS,STD,,,,
2459199.595058,16.397,0.211,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.483,Z,16.790,15.251,,ASASSN-20OH,VVS,STD,,,,
2459199.595440,16.519,0.237,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.482,Z,16.798,15.269,,ASASSN-20OH,VVS,STD,,,,
2459199.595943,15.720,0.119,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.481,Z,17.231,15.691,,ASASSN-20OH,VVS,STD,,,,
2459199.596510,16.074,0.161,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.481,Z,17.233,15.701,,ASASSN-20OH,VVS,STD,,,,
2459199.597014,15.634,0.122,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.480,Z,16.606,15.074,,ASASSN-20OH,VVS,STD,,,,
2459199.597396,15.433,0.098,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.479,Z,16.575,15.069,,ASASSN-20OH,VVS,STD,,,,
2459200.45,16.72,0.1,,V,MLF,,4UCAC-106-004665,,,,0,,Z,12.44,,,ASASSN-20OH,,STD,,,,
2459200.45,16.10,0.1,,I,MLF,,4UCAC-106-004665,,,,0,,Z,11.87,,,ASASSN-20OH,,STD,,,,
2459200.45,15.70,0.06,,R,MLF,,4UCAC-106-004665,,,,0,,Z,12.2,,,ASASSN-20OH,,STD,,,,
2459200.591447,16.445,0.932,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,17.700,16.177,,ASASSN-20OH,VVS,STD,,,,
2459200.591840,15.352,0.344,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,17.689,16.161,,ASASSN-20OH,VVS,STD,,,,
2459200.592257,16.591,0.265,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.483,Z,16.815,15.260,,ASASSN-20OH,VVS,STD,,,,
2459200.592650,16.621,0.273,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.482,Z,16.816,15.292,,ASASSN-20OH,VVS,STD,,,,
2459200.593154,15.852,0.156,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.482,Z,17.283,15.734,,ASASSN-20OH,VVS,STD,,,,
2459200.593709,16.668,0.317,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.481,Z,17.287,15.755,,ASASSN-20OH,VVS,STD,,,,
2459200.594225,15.846,0.159,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.480,Z,16.609,15.095,,ASASSN-20OH,VVS,STD,,,,
