HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460343.78837,2024-02-03.2858403,bt,1.54,17.368,16.592,0.107,0.838,0.082,g
2460345.69565,2024-02-05.1932204,bt,1.5,17.440,16.418,0.085,0.984,0.077,g
2460345.69687,2024-02-05.1944376,bt,1.55,17.505,16.465,0.084,0.942,0.072,g
2460345.69810,2024-02-05.1956678,bt,1.52,17.370,16.250,0.078,1.148,0.082,g
2460346.71543,2024-02-06.2130550,bt,1.56,17.144,16.275,0.098,1.121,0.101,g
2460346.71666,2024-02-06.2142814,bt,1.5,17.196,16.773,0.148,0.709,0.096,g
2460346.71789,2024-02-06.2155092,bt,1.49,17.202,16.466,0.111,0.941,0.096,g
2460348.69717,2024-02-08.1948984,bt,1.56,17.262,16.322,0.092,1.075,0.090,g
2460348.69840,2024-02-08.1961275,bt,1.55,17.303,16.402,0.096,0.998,0.087,g
2460348.69963,2024-02-08.1973623,bt,1.59,17.389,16.344,0.084,1.053,0.080,g
2460353.67734,2024-02-13.1753464,bt,1.52,17.435,16.585,0.100,0.844,0.077,g
2460353.67858,2024-02-13.1765833,bt,1.46,17.479,16.367,0.079,1.031,0.074,g
2460353.67979,2024-02-13.1778075,bt,1.53,17.479,16.406,0.081,0.995,0.074,g
2460354.68931,2024-02-14.1873912,bt,1.52,17.355,16.508,0.100,0.905,0.083,g
2460354.69054,2024-02-14.1886190,bt,1.49,17.425,16.601,0.103,0.830,0.078,g
2460354.69177,2024-02-14.1898456,bt,1.43,17.504,16.468,0.084,0.939,0.072,g
2460358.79087,2024-02-18.2891923,bD,1.54,16.725,16.221,0.138,1.180,0.148,g
2460358.79211,2024-02-18.2904282,bD,1.53,16.673,16.467,0.181,0.941,0.156,g
2460358.79337,2024-02-18.2916840,bD,1.48,16.736,16.174,0.131,1.231,0.147,g
2460359.73265,2024-02-19.2310300,bt,1.59,16.725,>16.725,99.990,0.272,0.148,g
2460359.73388,2024-02-19.2322545,bt,1.55,16.568,>16.568,99.990,0.731,0.171,g
2460359.73510,2024-02-19.2334719,bt,1.53,16.672,16.537,0.194,0.882,0.156,g
2460360.74433,2024-02-20.2427715,bt,1.54,15.191,>15.191,99.990,1.359,0.609,g
2460360.74555,2024-02-20.2439991,bt,1.49,15.695,>15.695,99.990,0.496,0.383,g
2460360.74678,2024-02-20.2452201,bt,1.47,15.235,>15.235,99.990,1.281,0.585,g
2460362.85765,2024-02-22.3562247,bD,1.52,16.193,>16.193,99.990,1.005,0.242,g
2460362.85891,2024-02-22.3574758,bD,1.46,16.266,>16.266,99.990,0.504,0.226,g
2460362.86015,2024-02-22.3587259,bD,1.56,16.265,>16.265,99.990,0.963,0.227,g
2460364.67572,2024-02-24.1744093,bt,1.66,16.226,>16.226,99.990,0.826,0.235,g
2460364.67694,2024-02-24.1756265,bt,1.58,16.144,>16.144,99.990,0.656,0.253,g
2460364.67818,2024-02-24.1768706,bt,1.56,16.218,>16.218,99.990,0.795,0.236,g
2460366.73823,2024-02-26.2370532,bt,1.48,15.966,>15.966,99.990,0.908,0.298,g
2460366.73944,2024-02-26.2382668,bt,1.52,16.031,>16.031,99.990,0.952,0.281,g
2460366.74067,2024-02-26.2394853,bt,1.45,16.195,>16.195,99.990,0.612,0.242,g
2460370.84244,2024-03-01.3415322,bD,1.47,17.154,16.388,0.108,1.012,0.100,g
