HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459574.61320,2021-12-26.1150921,bG,1.43,16.912,>16.912,99.990,-0.160,0.125,g
2459577.61618,2021-12-29.1181415,bk,1.48,16.973,>16.973,99.990,0.233,0.118,g
2459577.61742,2021-12-29.1193810,bk,1.44,17.029,>17.029,99.990,-0.167,0.112,g
2459577.61866,2021-12-29.1206253,bk,1.41,16.905,>16.905,99.990,0.104,0.126,g
2459578.64421,2021-12-30.1461954,bG,1.43,17.060,>17.060,99.990,0.153,0.109,g
2459578.64551,2021-12-30.1474932,bG,1.48,16.958,>16.958,99.990,0.180,0.120,g
2459578.64681,2021-12-30.1487899,bG,1.43,17.084,>17.084,99.990,-0.096,0.107,g
2459579.35208,2021-12-30.8540792,bo,1.45,16.985,>16.985,99.990,-0.000,0.117,g
2459579.35332,2021-12-30.8553233,bo,1.46,16.985,>16.985,99.990,0.295,0.117,g
2459579.35458,2021-12-30.8565883,bo,1.50,16.835,>16.835,99.990,0.151,0.134,g
2459579.64019,2021-12-31.1422009,bG,1.41,17.059,>17.059,99.990,0.268,0.109,g
2459579.64149,2021-12-31.1435008,bG,1.43,16.974,>16.974,99.990,0.262,0.118,g
2459579.64278,2021-12-31.1447874,bG,1.42,17.053,>17.053,99.990,-0.008,0.110,g
2459580.28447,2021-12-31.7864844,bo,1.79,15.882,>15.882,99.990,0.258,0.322,g
2459580.28612,2021-12-31.7881413,bo,1.85,16.071,>16.071,99.990,0.406,0.271,g
2459580.28737,2021-12-31.7893843,bo,2.02,16.209,>16.209,99.990,0.296,0.239,g
2459581.28890,2022-01-01.7909391,bo,1.66,16.323,>16.323,99.990,0.288,0.215,g
2459581.29035,2022-01-01.7923883,bo,1.64,16.481,>16.481,99.990,-0.355,0.186,g
2459581.29234,2022-01-01.7943731,bo,1.57,16.595,>16.595,99.990,0.415,0.167,g
2459581.63241,2022-01-02.1344591,bG,1.53,17.031,>17.031,99.990,0.189,0.112,g
2459581.63370,2022-01-02.1357435,bG,1.45,16.955,>16.955,99.990,-0.203,0.120,g
