2455480.78979 20.455 0.113 6.02 252.0
2455482.76602 20.241 0.107 6.51 269.0
2455483.76399 20.317 0.142 7.35 330.0
2455484.87347 20.335 0.089 4.52 347.0
2455486.77249 20.095 0.095 5.86 381.0
2455487.85147 20.213 0.073 3.38 464.0
2455488.84537 20.343 0.080 3.74 346.0
2455490.71162 20.209 0.115 4.70 691.0
2455491.73193 20.643 0.163 4.68 659.0
2455492.76544 20.189 0.099 4.03 736.0
2455493.78777 20.732 0.183 4.96 608.0
2455494.83250 20.078 0.100 4.66 695.0
2455495.78964 20.168 0.095 4.59 522.0
2455497.81763 20.784 0.194 6.10 410.0
2455499.72462 20.404 0.112 5.51 321.0
2455502.79478 20.213 0.072 3.76 350.0
2455503.75002 20.606 0.120 4.30 374.0
2455505.71969 20.263 0.116 5.25 508.0
2455506.73715 20.236 0.071 3.64 361.0
2455507.75528 20.239 0.064 3.58 256.0
2455509.66370 20.292 0.094 4.48 427.0
2455510.71961 20.168 0.085 5.00 307.0
2455511.69578 20.238 0.099 5.23 367.0
2455512.73885 20.556 0.111 4.89 296.0
2455513.70912 20.170 0.087 4.69 386.0
2455514.74166 20.229 0.073 3.91 340.0
2455515.65893 20.280 0.128 5.33 515.0
2455516.74449 20.512 0.108 3.78 361.0
2455517.65759 20.188 0.114 5.46 474.0
2455517.85853 20.627 0.143 4.24 605.0
2455518.75399 20.249 0.149 5.85 628.0
2455519.67752 20.199 0.182 7.02 687.0
2455521.69727 20.738 0.218 5.44 736.0
2455522.72241 20.132 0.131 4.58 1121.0
2455523.68710 20.436 0.132 4.75 536.0
2455524.69555 20.368 0.101 3.60 610.0
2455525.72862 20.389 0.087 3.35 470.0
2455526.68067 20.336 0.094 3.71 539.0
2455527.76141 20.292 0.087 4.33 372.0
2455528.70243 20.318 0.110 4.22 526.0
2455529.68276 20.277 0.100 5.02 365.0
2455530.68997 20.294 0.094 4.80 374.0
2455531.77315 20.216 0.067 3.98 320.0
2455532.68126 20.402 0.089 4.21 344.0
2455533.70460 20.530 0.132 5.81 313.0
2455534.73617 20.281 0.085 4.80 316.0
2455535.71295 20.219 0.085 4.95 320.0
2455536.71561 20.356 0.086 4.92 275.0
2455539.72586 20.264 0.086 4.39 344.0
2455540.80998 20.468 0.109 5.49 276.0
2455541.67618 20.615 0.147 5.77 313.0
2455542.73457 20.353 0.089 5.01 259.0
2455543.76609 19.948 0.103 7.44 312.0
2455544.75361 20.049 0.071 4.77 323.0
2455545.74288 20.546 0.129 5.57 339.0
2455546.69255 20.368 0.129 6.04 430.0
2455547.75233 20.096 0.098 5.40 457.0
2455548.71230 20.197 0.104 4.94 498.0
2455549.67684 20.435 0.138 5.03 567.0
2455550.73226 20.365 0.123 4.54 679.0
2455551.68278 20.528 0.161 4.47 829.0
2455553.73582 20.392 0.129 5.09 505.0
2455554.66915 20.233 0.119 5.45 502.0
2455556.68377 20.083 0.073 4.34 406.0
2455557.66492 20.494 0.116 4.70 406.0
2455558.66583 20.272 0.097 5.97 248.0
2455559.65601 20.284 0.136 6.71 372.0
2455560.64769 20.386 0.098 5.14 276.0
2455561.68126 20.481 0.135 6.01 363.0
2455562.70082 20.310 0.103 4.77 491.0
2455563.63480 20.481 0.138 5.85 416.0
2455565.66608 20.352 0.119 6.54 277.0
2455566.69337 20.196 0.088 4.42 473.0
2455568.71367 20.079 0.096 5.55 456.0
2455569.70822 20.405 0.123 6.40 295.0
2455570.74695 20.435 0.106 5.49 297.0
2455571.67880 20.418 0.110 5.65 270.0
2455572.79522 20.145 0.089 5.29 369.0
2455575.70028 20.206 0.101 5.34 379.0
2455576.67448 20.347 0.083 4.16 333.0
2455577.67605 20.239 0.110 5.28 454.0
2455578.68281 20.440 0.127 4.66 548.0
2455579.73317 20.189 0.134 5.13 873.0
2455580.67685 20.311 0.087 3.72 517.0
2455581.67931 20.188 0.120 5.07 739.0
2455582.68711 20.479 0.137 4.51 619.0
2455583.69389 20.219 0.078 3.85 486.0
2455584.67991 20.182 0.097 5.45 399.0
2455585.67977 20.229 0.103 4.74 521.0
2455586.64352 20.382 0.127 5.99 367.0
2455587.62564 20.022 0.080 5.91 298.0
2455588.72960 18.987 0.054 6.78 516.0
2455589.63566 20.432 0.093 5.12 273.0
2455590.61418 20.131 0.096 6.61 235.0
2455591.67301 20.300 0.074 4.30 279.0
2455592.65525 20.239 0.073 4.83 244.0
2455593.63821 20.230 0.084 4.82 325.0
2455594.65440 20.217 0.092 6.06 230.0
2455595.63304 20.122 0.078 5.19 298.0
2455596.69624 20.051 0.061 4.18 300.0
2455597.61367 20.640 0.143 5.25 368.0
2455598.67781 20.238 0.080 5.25 260.0
2455599.64362 20.460 0.128 5.18 391.0
2455600.67636 20.456 0.098 4.97 260.0
2455601.65597 20.490 0.093 4.93 249.0
2455602.65469 20.465 0.095 5.32 223.0
2455603.66345 20.226 0.101 6.00 321.0
2455604.66059 20.004 0.085 6.00 337.0
2455605.66569 20.418 0.084 3.92 381.0
2455606.67704 20.265 0.095 4.49 474.0
2455607.68847 20.284 0.131 5.23 593.0
2455608.67534 20.432 0.169 5.94 671.0
2455609.70705 20.121 0.115 5.09 777.0
2455611.63762 20.008 0.131 5.87 792.0
2455612.69014 20.322 0.153 5.50 760.0
2455613.65164 20.227 0.138 6.66 500.0
2455614.64527 20.176 0.099 4.77 507.0
2455615.63907 20.365 0.099 4.52 420.0
2455616.64781 20.293 0.109 5.16 382.0
2455619.63830 20.577 0.107 4.94 297.0
2455620.62366 20.299 0.136 7.16 334.0
2455622.63295 20.354 0.118 5.12 454.0
2455623.59586 20.237 0.097 5.18 388.0
2455624.53695 20.148 0.113 6.26 349.0
2455625.62860 20.221 0.096 4.97 356.0
2455626.58970 20.823 0.184 5.88 322.0
2455627.55442 20.238 0.086 5.10 288.0
2455629.59466 20.640 0.131 4.47 382.0
2455630.60609 20.254 0.115 4.75 487.0
2455632.55419 20.180 0.111 5.58 523.0
2455633.60320 20.416 0.107 4.60 426.0
2455634.56361 20.422 0.130 5.08 423.0
2455635.56792 20.174 0.114 6.09 446.0
2455638.57253 20.311 0.198 6.22 917.0
2455639.58277 20.689 0.261 6.01 846.0
2455640.52177 20.249 0.173 6.16 737.0
2455641.54943 20.354 0.137 5.13 552.0
2455642.49769 20.252 0.090 4.11 395.0
2455643.49546 20.634 0.170 5.50 511.0
2455644.49821 19.973 0.083 5.09 425.0
2455645.49692 19.922 0.122 7.05 508.0
