HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459543.66666,2021-11-25.1675531,bl,1.49,16.137,>16.137,99.990,0.610,0.255,g
2459543.66790,2021-11-25.1687982,bl,1.49,16.064,>16.064,99.990,0.757,0.273,g
2459543.66913,2021-11-25.1700332,bl,1.45,16.144,>16.144,99.990,0.576,0.253,g
2459543.68583,2021-11-25.1867221,bH,1.41,15.955,>15.955,99.990,0.482,0.301,g
2459543.68711,2021-11-25.1880091,bH,1.36,15.939,>15.939,99.990,0.166,0.306,g
2459543.68841,2021-11-25.1893098,bH,1.39,16.197,>16.197,99.990,0.446,0.241,g
2459546.51516,2021-11-28.0161631,bH,1.85,15.553,>15.553,99.990,-0.681,0.436,g
2459546.51774,2021-11-28.0187476,bH,1.81,15.640,>15.640,99.990,0.423,0.403,g
2459547.64870,2021-11-29.1497625,bl,1.53,16.062,>16.062,99.990,0.551,0.273,g
2459547.64997,2021-11-29.1510184,bl,1.50,16.230,>16.230,99.990,0.541,0.234,g
2459547.65122,2021-11-29.1522693,bl,1.46,16.073,>16.073,99.990,0.581,0.270,g
2459547.68697,2021-11-29.1880255,bl,1.45,16.066,>16.066,99.990,0.731,0.272,g
2459547.68822,2021-11-29.1892803,bl,1.49,16.133,>16.133,99.990,0.706,0.256,g
2459547.68947,2021-11-29.1905336,bl,1.46,16.086,>16.086,99.990,0.521,0.267,g
2459548.27448,2021-11-29.7755609,bp,1.70,16.026,>16.026,99.990,0.809,0.282,g
2459548.27578,2021-11-29.7768530,bp,1.73,15.922,>15.922,99.990,0.506,0.311,g
2459548.27728,2021-11-29.7783563,bp,1.70,16.067,>16.067,99.990,0.872,0.272,g
2459548.38807,2021-11-29.8891451,bp,1.53,16.227,>16.227,99.990,0.985,0.235,g
2459548.38932,2021-11-29.8903962,bp,1.49,16.347,>16.347,99.990,0.840,0.210,g
2459548.39057,2021-11-29.8916510,bp,1.51,16.226,>16.226,99.990,0.818,0.235,g
2459548.57705,2021-11-30.0781364,bl,1.49,16.109,>16.109,99.990,0.550,0.262,g
2459548.57828,2021-11-30.0793641,bl,1.46,16.152,>16.152,99.990,0.875,0.251,g
2459548.57951,2021-11-30.0805968,bl,1.53,16.202,>16.202,99.990,0.568,0.240,g
2459549.39670,2021-11-30.8978241,bp,1.53,16.170,>16.170,99.990,0.796,0.247,g
2459549.39796,2021-11-30.8990752,bp,1.50,16.253,>16.253,99.990,0.546,0.229,g
2459549.39920,2021-11-30.9003182,bp,1.53,16.097,>16.097,99.990,1.105,0.265,g
2459549.40443,2021-11-30.9055466,bp,1.61,16.094,>16.094,99.990,0.548,0.265,g
2459549.40567,2021-11-30.9067895,bp,1.69,16.113,>16.113,99.990,0.700,0.260,g
2459549.40691,2021-11-30.9080313,bp,1.60,16.228,>16.228,99.990,0.566,0.234,g
2459549.57088,2021-12-01.0720001,bH,1.42,16.120,>16.120,99.990,0.910,0.259,g
2459549.57217,2021-12-01.0733024,bH,1.37,16.150,>16.150,99.990,0.848,0.252,g
2459549.57348,2021-12-01.0746121,bH,1.36,16.278,>16.278,99.990,1.036,0.224,g
2459550.27566,2021-12-01.7768145,bp,1.54,15.959,>15.959,99.990,0.642,0.300,g
2459550.27694,2021-12-01.7780952,bp,1.52,15.919,>15.919,99.990,0.338,0.311,g
2459550.27818,2021-12-01.7793416,bp,1.52,15.996,>15.996,99.990,0.415,0.290,g
2459550.37872,2021-12-01.8798790,bp,1.49,16.237,>16.237,99.990,0.656,0.232,g
2459550.37996,2021-12-01.8811208,bp,1.49,16.201,>16.201,99.990,0.552,0.240,g
2459550.38120,2021-12-01.8823581,bp,1.55,16.293,>16.293,99.990,0.596,0.221,g
2459550.47406,2021-12-01.9752269,bp,1.66,16.073,>16.073,99.990,0.811,0.270,g
2459550.47530,2021-12-01.9764696,bp,1.65,16.335,>16.335,99.990,0.770,0.212,g
2459550.59135,2021-12-02.0925165,bH,1.41,16.134,>16.134,99.990,0.637,0.256,g
2459550.59264,2021-12-02.0938159,bH,1.39,16.113,>16.113,99.990,0.495,0.261,g
2459550.59393,2021-12-02.0950967,bH,1.44,16.122,>16.122,99.990,0.639,0.258,g
2459551.52216,2021-12-03.0233594,bl,1.45,15.681,>15.681,99.990,0.403,0.388,g
2459551.52340,2021-12-03.0246002,bl,1.45,15.776,>15.776,99.990,-0.130,0.355,g
2459551.52464,2021-12-03.0258407,bl,1.45,15.834,>15.834,99.990,0.630,0.337,g
2459552.64875,2021-12-04.1499905,bH,1.41,16.116,>16.116,99.990,1.078,0.260,g
2459552.65004,2021-12-04.1512773,bH,1.41,16.120,>16.120,99.990,0.570,0.259,g
2459552.65134,2021-12-04.1525862,bH,1.43,16.173,>16.173,99.990,0.922,0.247,g
2459553.54655,2021-12-05.0478287,bl,1.47,16.121,>16.121,99.990,0.525,0.259,g
2459553.54779,2021-12-05.0490729,bl,1.42,16.142,>16.142,99.990,0.592,0.254,g
2459553.54903,2021-12-05.0503091,bl,1.47,16.054,>16.054,99.990,0.497,0.275,g
2459554.66865,2021-12-06.1699745,bl,1.48,16.005,>16.005,99.990,0.525,0.288,g
2459554.66989,2021-12-06.1712187,bl,1.46,15.889,>15.889,99.990,0.831,0.320,g
2459554.67115,2021-12-06.1724606,bl,1.43,16.182,>16.182,99.990,0.477,0.245,g
2459556.52114,2021-12-08.0225293,bH,1.65,15.597,>15.597,99.990,0.446,0.419,g
2459556.52244,2021-12-08.0238265,bH,1.62,15.691,>15.691,99.990,0.686,0.384,g
2459556.52372,2021-12-08.0251162,bH,1.67,15.812,>15.812,99.990,0.338,0.344,g
2459557.28371,2021-12-08.7851271,bp,2.01,16.132,>16.132,99.990,0.309,0.256,g
2459557.28497,2021-12-08.7863843,bp,1.78,15.959,14.586,0.062,5.318,0.301,g
2459557.28621,2021-12-08.7876321,bp,1.64,15.857,>15.857,99.990,0.704,0.330,g
2459557.53729,2021-12-09.0387184,bH,1.41,15.984,>15.984,99.990,0.639,0.294,g
2459557.53859,2021-12-09.0400138,bH,1.44,16.015,>16.015,99.990,0.683,0.285,g
2459557.53990,2021-12-09.0413187,bH,1.41,16.088,>16.088,99.990,0.793,0.267,g
2459558.28116,2021-12-09.7826137,bp,1.54,15.020,>15.020,99.990,0.508,0.713,g
2459558.28240,2021-12-09.7838475,bp,1.54,14.117,>14.117,99.990,2.754,1.640,g
2459558.28363,2021-12-09.7850730,bp,1.49,99.990,99.990,99.990,99.990,99.990,g
2459558.52203,2021-12-10.0234835,bH,1.55,15.598,>15.598,99.990,0.352,0.419,g
2459558.52332,2021-12-10.0247815,bH,1.43,15.761,>15.761,99.990,0.202,0.360,g
2459558.52462,2021-12-10.0260780,bH,1.45,15.754,>15.754,99.990,0.214,0.363,g
2459559.31017,2021-12-10.8116569,bp,1.67,16.138,>16.138,99.990,0.963,0.255,g
2459559.31144,2021-12-10.8129275,bp,1.60,16.043,>16.043,99.990,0.707,0.278,g
2459559.31269,2021-12-10.8141776,bp,1.68,16.107,>16.107,99.990,0.754,0.262,g
2459559.39006,2021-12-10.8915460,bp,1.52,16.163,>16.163,99.990,0.442,0.249,g
2459559.39131,2021-12-10.8927973,bp,1.58,16.037,>16.037,99.990,0.687,0.280,g
2459559.39255,2021-12-10.8940413,bp,1.54,16.124,>16.124,99.990,0.918,0.258,g
2459559.70863,2021-12-11.2101297,bH,1.56,16.124,>16.124,99.990,0.601,0.258,g
2459560.30597,2021-12-11.8074903,bp,1.54,15.942,>15.942,99.990,0.783,0.305,g
2459560.30723,2021-12-11.8087533,bp,1.46,16.117,>16.117,99.990,0.601,0.260,g
