2453734.57112  20.149   0.196
2453737.58682  20.544   0.244
2453742.54546  20.131   0.282
2453746.57070  20.304   0.290
2453751.55063  20.051   0.332
2453756.56336  20.407   0.312
2453761.61359  20.349   0.295
2453766.53846  20.102   0.179
2453772.56129  20.292   0.266
2453776.56136  20.452   0.291
2453871.88727  20.124   0.328
2453901.94977  19.606   0.198
2453906.95003  20.232   0.381
2453913.92808  20.184   0.127
2453918.89047  20.052   0.140
2453931.92577  20.344   0.265
2453934.86881  20.333   0.163
2453936.87699  20.054   0.162
2453944.90840  20.112   0.161
2453946.87650  20.053   0.137
2453951.89574  20.405   0.251
2453955.86091  19.666   0.198
2453958.84640  19.683   0.150
2453960.83755  20.429   0.193
2453963.83429  20.422   0.362
2453965.82610  20.183   0.098
2453967.86849  20.131   0.138
2453969.81167  20.184   0.169
2453971.78783  20.216   0.160
2453974.78955  19.871   0.132
2453979.75079  20.035   0.150
2453980.62828  20.202   0.267
2453981.65454  20.522   0.216
2453983.84488  20.282   0.244
2453987.79339  20.228   0.204
2453990.80071  20.177   0.145
2453993.74556  20.036   0.188
2453995.75077  20.202   0.140
2453999.76013  20.108   0.130
2454002.73223  19.782   0.112
2454004.68398  20.202   0.129
2454006.71025  20.157   0.120
2454007.57361  20.081   0.166
2454008.58259  20.227   0.155
2454009.75243  20.084   0.148
2454013.70910  20.089   0.189
2454016.70370  20.164   0.154
2454018.71041  20.231   0.190
2454019.70107  20.242   0.249
2454021.68785  20.254   0.158
2454024.66132  20.372   0.178
2454026.64020  20.230   0.156
2454028.63616  20.072   0.119
2454030.64872  19.967   0.163
2454032.70080  19.740   0.154
2454037.67700  19.930   0.110
2454039.61490  20.178   0.160
2454041.61449  19.854   0.182
2454043.60017  20.854   0.444
2454046.60947  20.400   0.316
2454048.57541  20.641   0.361
2454050.61754  20.086   0.154
2454052.56964  20.371   0.217
2454054.62377  20.011   0.183
2454058.62941  20.286   0.208
2454060.52825  21.056   0.464
2454064.52592  20.329   0.150
2454066.56739  20.051   0.174
2454069.52574  19.986   0.192
2454073.60931  20.327   0.239
2454077.53269  19.873   0.136
2454079.53465  20.549   0.304
2454082.53456  20.542   0.298
2454085.57228  19.879   0.141
2454092.56836  20.469   0.186
2454096.59432  19.696   0.135
2454100.59710  20.889   0.451
2454105.56495  20.703   0.376
2454108.54116  20.560   0.213
2454113.61909  19.411   0.100
2454120.58992  20.273   0.150
2454132.57311  20.648   0.481
2454252.93706  20.227   0.327
2454255.85634  20.026   0.229
2454268.90906  20.191   0.201
2454275.93116  20.309   0.309
2454279.82785  19.834   0.256
2454282.81939  20.098   0.213
2454283.87233  20.284   0.283
2454285.92664  20.032   0.213
2454291.94744  20.266   0.353
2454292.86597  20.137   0.140
2454295.87000  20.275   0.178
2454296.89973  20.311   0.199
2454297.93260  20.180   0.140
2454299.86745  20.167   0.122
2454300.88894  20.148   0.155
2454301.90693  20.014   0.102
2454302.92856  20.194   0.231
2454306.92569  20.044   0.174
2454307.90742  20.071   0.115
2454308.66857  20.008   0.203
2454308.87659  20.428   0.238
2454310.84891  20.094   0.218
2454311.83647  19.766   0.216
2454312.91033  20.166   0.145
2454314.92979  20.245   0.273
2454316.83634  20.008   0.187
2454319.87350  20.118   0.196
2454320.90037  20.267   0.280
2454326.84428  20.105   0.199
2454327.82334  19.860   0.188
2454328.83899  20.319   0.248
2454329.84068  20.097   0.188
2454330.86979  20.052   0.130
2454333.87106  19.801   0.157
2454338.91140  19.942   0.215
2454340.78388  20.278   0.223
2454341.77904  19.989   0.208
2454342.83495  20.364   0.317
2454343.77254  19.905   0.158
2454344.75468  20.226   0.195
2454345.80065  20.123   0.166
2454347.78957  20.150   0.171
2454349.80275  20.116   0.156
2454351.83001  20.253   0.209
2454353.76306  20.064   0.174
2454359.70988  19.715   0.123
2454361.71244  19.937   0.181
2454362.73726  20.327   0.281
2454364.59417  20.208   0.322
2454367.69170  20.162   0.223
2454370.68337  20.474   0.300
2454372.74680  20.104   0.141
2454376.66219  20.053   0.170
2454378.62876  20.144   0.173
2454379.65674  20.160   0.302
2454380.76961  20.161   0.181
2454382.69700  20.146   0.160
2454386.67209  19.953   0.166
2454388.67259  20.424   0.230
2454390.68157  20.005   0.128
2454393.65536  19.883   0.155
2454395.69026  20.129   0.193
2454398.65570  20.056   0.212
2454400.67855  19.757   0.213
2454403.70437  20.208   0.225
2454407.64444  19.969   0.163
2454408.69064  20.071   0.215
2454410.71355  20.081   0.167
2454415.69771  20.314   0.273
2454418.60435  20.246   0.168
2454422.66558  20.296   0.188
2454424.66266  20.214   0.214
2454427.54935  20.114   0.221
2454429.59215  19.996   0.273
2454431.57979  20.683   0.339
2454433.58561  20.572   0.338
2454435.57390  20.153   0.181
2454437.66299  20.326   0.320
2454439.57488  19.967   0.209
2454441.61072  20.048   0.207
2454443.60143  20.293   0.250
2454449.65550  19.970   0.160
2454451.61058  20.191   0.171
2454453.59255  20.046   0.210
2454456.59396  20.238   0.302
2454459.54653  20.148   0.234
2454464.58619  20.167   0.163
2454465.55216  20.077   0.192
2454470.57110  19.980   0.175
2454474.60758  19.939   0.197
2454476.58575  20.159   0.179
2454479.61051  20.153   0.263
2454481.59520  20.303   0.258
2454484.61189  20.210   0.349
2454487.63339  19.842   0.269
2454609.90676  20.343   0.314
2454643.89140  20.049   0.217
2454649.94157  20.522   0.352
2454655.93810  19.982   0.140
2454661.90477  19.857   0.141
2454662.78746  20.395   0.189
2454662.90441  20.238   0.175
2454663.75915  20.052   0.230
2454663.94303  20.390   0.330
